year,month,day,hour,consumption,generation,dayOfWeek,dayOfYear,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,prev_consumption,consumption_change
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,0.32941948334043447,-0.807506086806635,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,0.13941914353600482,-0.07747013912241973
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,0.6514390717588534,-0.9156988823668828,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,0.32941948334043447,0.012396289831555135
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.3411322806366367,-0.9992304922079641,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,0.6514390717588534,-0.8824549884969112
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8043955009893538,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.3411322806366367,-0.5221512286863699
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8183222548376389,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8043955009893538,-0.21628474279522317
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.6258753231409432,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8183222548376389,-0.07580472685281517
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.7851390453586637,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.6258753231409432,-0.31521663704154407
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.9019481249330193,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.7851390453586637,-0.2863174638760329
-1.0,-0.8181818181818182,0.5333333333333334,-1.0,-0.9063681963965047,-1.0,0.6666666666666665,-0.7032967032967032,0.15555555555555556,0.4545454545454545,-1.0,-0.38461538461538414,0.0,0.24,0.6842105263157894,0.3023255813953487,0.21052631578947356,0.4,-0.3191489361702128,0.94,1.0,-1.0,-0.45945945945945965,0.31428571428571417,1.0,-0.15877437325905286,-0.44444444444444453,-0.9019481249330193,-0.20981347738437697
-1.0,-0.8181818181818182,0.5333333333333334,-1.0,-0.9149103569776226,-1.0,0.6666666666666665,-0.7032967032967032,0.15555555555555556,0.4545454545454545,-1.0,-0.38461538461538414,0.0,0.24,0.6842105263157894,0.3023255813953487,0.21052631578947356,0.4,-0.3191489361702128,0.94,1.0,-1.0,-0.45945945945945965,0.31428571428571417,1.0,-0.15877437325905286,-0.44444444444444453,-0.9063681963965047,-0.21261941237280274
